rxn00097:	['"KEGG:R00127"']
rxn01127:	['"KEGG:R01547"']
rxn08066:	['']
rxn00251:	['"KEGG:R00345"']
rxn05516:	['']
rxn03446:	['"KEGG:R05086"']
rxn01069:	['"KEGG:R01466"']
rxn04783:	['"KEGG:R06974"']
rxn01484:	['"KEGG:R02059"']
rxn02005:	['']
rxn03084:	['"KEGG:R04463"']
rxn05301:	['']
rxn00917:	['"KEGG:R01231"']
rxn00409:	['"KEGG:R00570"']
rxn00839:	['"KEGG:R01137"']
rxn01673:	['"KEGG:R02326"']
rxn01353:	['"KEGG:R01857"']
rxn01512:	['"KEGG:R02093"']
rxn01678:	['"KEGG:R02331"']
rxn00237:	['"KEGG:R00330"']
rxn00117:	['"KEGG:R00156"']
rxn00423:	['"KEGG:R00586"']
rxn10144:	['']
rxn05625:	['']
rxn05557:	['']
rxn00131:	['"KEGG:R00182"']
rxn02484:	['"KEGG:R03471"']
rxn03108:	['"KEGG:R04509"']
rxn06441:	['"KEGG:R03657"']
rxn02155:	['"KEGG:R03005"']
rxn13044:	['']
rxn05551:	['']
rxn00001:	['"KEGG:R00004"']
rxn01466:	['"KEGG:R02003"']
rxn03909:	['"KEGG:R05636"']
rxn05515:	['']
rxn09101:	['']
rxn09102:	['']
rxn09103:	['']
rxn09104:	['']
rxn09105:	['']
rxn09106:	['']
rxn09107:	['']
rxn00438:	['"KEGG:R00617"']
rxn03080:	['"KEGG:R04457"']
rxn02475:	['"KEGG:R03459"']
rxn07099:	['"KEGG:R06363"']
rxn02366:	['"KEGG:R03303"']
rxn04454:	['"KEGG:R06602"']
rxn01258:	['"KEGG:R01717"']
rxn00792:	['"KEGG:R01074"']
rxn05618:	['']
rxn10963:	['']
rxn01636:	['"KEGG:R02282"']
rxn00851:	['"KEGG:R01150"']
rxn02286:	['"KEGG:R03193"']
rxn03408:	['"KEGG:R05032"']
rxn02008:	['"KEGG:R02783"']
rxn03904:	['"KEGG:R05630"']
rxn03164:	['"KEGG:R04617"']
rxn02011:	['"KEGG:R02788"']
rxn03917:	['"KEGG:R05645"']
rxn06448:	['"KEGG:R03664"']
rxn00789:	['"KEGG:R01071"']
rxn00461:	['"KEGG:R00660"']
rxn01117:	['"KEGG:R01530"']
rxn02404:	['"KEGG:R03350"']
rxn02402:	['"KEGG:R03348"']
rxn00100:	['"KEGG:R00130"']
rxn00392:	['"KEGG:R00549"']
rxn00179:	['"KEGG:R00239"']
rxn09037:	['"KEGG:R09248"']
rxn05028:	['"KEGG:R07267"']
rxn00014:	['"KEGG:R00017"']
rxn09674:	['']
rxn00915:	['"KEGG:R01229"']
rxn00836:	['"KEGG:R01132"']
rxn00193:	['"KEGG:R00260"']
rxn09179:	['']
rxn03908:	['"KEGG:R05634"']
rxn00770:	['"KEGG:R01049"']
rxn09205:	['']
rxn09206:	['']
rxn09207:	['']
rxn09208:	['']
rxn09209:	['']
rxn09210:	['']
rxn09211:	['']
rxn00912:	['"KEGG:R01226"']
rxn01791:	['"KEGG:R02473"']
rxn00346:	['"KEGG:R00489"']
rxn01977:	['"KEGG:R02739"']
rxn02380:	['"KEGG:R03321"']
rxn00558:	['"KEGG:R00771"']
rxn00747:	['"KEGG:R01015"']
rxn01485:	['"KEGG:R02060"']
rxn02201:	['"KEGG:R03067"']
rxn10171:	['']
rxn05470:	['']
rxn05602:	['']
rxn10571:	['']
rxn05616:	['']
rxn06672:	['"KEGG:R04385"']
rxn00832:	['"KEGG:R01127"']
rxn03137:	['"KEGG:R04560"']
rxn02895:	['"KEGG:R04144"']
rxn01294:	['"KEGG:R01764"']
rxn00838:	['"KEGG:R01135"']
rxn02875:	['"KEGG:R04112"']
rxn01416:	['"KEGG:R01931"']
rxn09197:	['']
rxn09198:	['']
rxn09199:	['']
rxn09200:	['']
rxn09201:	['']
rxn09202:	['']
rxn09203:	['']
rxn00260:	['"KEGG:R00355"']
rxn03916:	['"KEGG:R05644"']
